BEN;CO;MXIL;NO;NO2;O3;PM2.5;SO2;TOL
0.45;0.4;0.27;4.0;18.0;36.0;6.0;7.0;0.67
0.35;0.4;0.55;4.0;19.0;40.0;5.0;8.0;1.78
0.44;0.44;0.35;11.0;21.0;36.0;7.0;8.0;0.86
0.46;0.5;0.28;8.0;19.0;31.0;8.0;9.0;0.84
0.73;0.56;0.32;6.0;26.0;25.0;9.0;10.0;1.02
0.5;0.44;0.26;5.0;17.0;25.0;7.0;7.0;0.94
0.52;0.44;0.33;9.0;18.0;33.0;11.0;9.0;0.92
0.34;0.38;0.28;3.0;14.0;43.0;6.0;7.0;0.6
0.37;0.42;0.28;8.0;18.0;30.0;8.0;8.0;0.96
0.34;0.38;0.25;2.0;9.0;47.0;5.0;8.0;0.35
0.35;0.38;0.26;3.0;10.0;47.0;4.0;7.0;0.38
0.48;0.4;0.29;4.0;14.0;35.0;4.0;7.0;0.68
0.33;0.37;0.27;4.0;10.0;46.0;5.0;6.0;0.43
0.43;0.41;0.28;7.0;18.0;24.0;5.0;9.0;0.66
0.46;0.41;0.37;15.0;15.0;19.0;5.0;9.0;0.96
0.4;0.37;0.26;4.0;14.0;41.0;4.0;7.0;0.66
0.44;0.41;0.29;8.0;18.0;24.0;3.0;7.0;0.73
0.5;0.42;0.38;6.0;16.0;27.0;3.0;7.0;1.02
0.37;0.39;0.26;3.0;11.0;36.0;3.0;7.0;0.56
0.43;0.42;0.36;10.0;14.0;25.0;5.0;8.0;0.88
0.38;0.42;0.28;9.0;14.0;26.0;5.0;8.0;0.92
0.55;0.81;0.65;10.0;14.0;16.0;11.0;18.0;2.35
0.41;0.49;0.42;16.0;17.0;32.0;7.0;8.0;1.2
0.26;0.36;0.25;4.0;13.0;47.0;4.0;7.0;0.38
0.56;0.5;0.37;13.0;20.0;25.0;8.0;8.0;1.34
0.43;0.49;0.26;8.0;15.0;36.0;11.0;9.0;0.63
0.37;0.45;0.27;9.0;16.0;30.0;5.0;7.0;0.8
0.41;0.6;0.42;14.0;25.0;19.0;7.0;9.0;1.52
0.58;0.47;0.74;35.0;35.0;20.0;6.0;10.0;2.03
0.55;0.64;0.75;30.0;35.0;18.0;7.0;13.0;2.08
0.6;0.47;0.47;28.0;26.0;30.0;9.0;11.0;1.54
0.58;0.39;0.32;12.0;24.0;42.0;3.0;8.0;0.69
0.53;0.38;0.29;11.0;21.5;32.5;4.0;7.5;0.65
0.49;0.38;0.26;10.0;19.0;23.0;5.0;7.0;0.61
0.46;0.53;0.31;15.0;27.0;18.0;8.0;8.0;1.16
0.37;0.38;0.28;12.0;19.0;18.0;6.0;6.0;0.83
0.33;0.34;0.26;13.0;18.0;22.0;6.0;4.0;0.88
0.33;0.36;0.29;11.0;21.0;37.0;5.0;6.0;0.73
0.32;0.33;0.26;11.0;19.0;42.0;6.0;6.0;0.5
0.43;0.5;0.29;12.0;26.0;33.0;8.0;6.0;0.76
0.55;0.6;0.3;19.0;26.0;27.0;10.0;8.0;1.2
0.53;0.54;0.38;31.0;33.0;22.0;11.0;7.0;1.48
0.62;0.64;0.64;43.0;39.0;15.0;11.0;11.0;2.47
0.68;0.45;0.62;52.0;43.0;25.0;8.0;7.0;2.43
0.75;0.84;0.7;33.0;33.0;17.0;16.0;10.0;2.25
0.73;0.51;0.43;38.0;38.0;20.0;23.0;9.0;1.65
0.82;0.86;0.7;29.0;46.0;17.0;24.0;16.0;1.84
1.38;0.75;2.63;85.0;57.0;8.0;20.0;10.0;6.14
0.73;0.45;0.66;22.0;36.0;37.0;26.0;6.0;2.08
0.98;0.57;0.36;32.0;40.0;12.0;22.0;6.0;1.59
0.81;0.57;1.11;40.0;38.0;10.0;13.0;9.0;1.81
0.62;0.49;0.63;42.0;41.0;10.0;5.0;7.0;1.94
0.74;0.49;1.27;62.0;38.0;21.0;7.0;6.0;2.98
0.4;0.33;0.27;11.0;21.0;48.0;4.0;6.0;0.55
0.46;0.35;0.3;12.0;23.0;33.0;6.0;6.0;0.63
0.66;0.61;0.5;37.0;41.0;14.0;10.0;16.0;1.57
1.05;0.59;1.6;95.0;61.0;9.0;8.0;11.0;3.78
0.9;0.79;1.64;77.0;59.0;9.0;9.0;18.0;3.79
0.86;0.56;1.24;79.0;54.0;18.0;8.0;15.0;3.3
0.57;0.49;0.71;55.0;41.0;20.0;13.0;10.0;2.29
0.32;0.3;0.25;8.0;22.0;39.0;10.0;5.0;0.84
0.33;0.32;0.25;8.0;19.0;40.0;8.0;4.0;0.58
0.3;0.31;0.25;10.0;24.0;36.0;3.0;5.0;0.42
0.58;0.44;0.58;55.0;40.0;17.0;6.0;9.0;1.74
1.16;0.72;1.61;74.0;48.0;4.0;7.0;17.0;4.1
1.02;0.63;1.09;74.0;52.0;5.0;11.0;10.0;3.47
0.64;0.56;0.66;41.0;42.0;11.0;5.0;8.0;2.65
0.52;0.47;0.5;27.0;24.0;25.0;6.0;7.0;1.57
0.4;0.39;0.34;10.0;23.0;45.0;4.0;6.0;0.63
0.72;0.53;0.45;43.0;38.0;23.0;6.0;11.0;1.46
0.58;0.58;0.38;36.0;33.0;18.0;6.0;13.0;1.51
0.7;0.6;0.35;30.0;42.0;28.0;5.0;7.0;1.26
0.68;0.66;0.43;32.0;43.0;15.0;4.0;14.0;1.39
0.67;0.62;0.47;28.0;46.0;21.0;3.0;8.0;1.71
0.48;0.69;0.29;22.0;32.0;21.0;4.0;11.0;1.13
0.38;0.59;0.31;13.0;23.0;31.0;3.0;10.0;0.87
0.56;0.53;0.5;43.0;41.0;31.0;3.0;7.0;1.39
0.62;0.52;0.35;50.0;38.0;16.0;8.0;6.0;1.62
1.21;0.89;0.31;115.0;46.0;5.0;11.0;14.0;3.76
1.4;0.84;1.14;121.0;47.0;9.0;10.0;13.0;4.97
0.86;0.69;0.45;38.0;40.0;10.0;16.0;24.0;2.1
0.89;0.67;0.59;57.0;33.0;13.0;9.0;9.0;2.9
0.94;0.73;0.73;58.0;33.0;9.0;11.0;13.0;2.67
1.52;1.02;0.93;151.0;61.0;3.0;11.0;24.0;5.98
1.09;1.02;0.58;167.0;67.0;3.0;8.0;23.0;5.21
0.79;1.13;0.25;74.0;41.0;28.0;7.0;25.0;3.39
0.79;1.06;1.87;106.0;56.0;22.0;15.0;14.0;5.53
0.49;0.44;0.45;27.0;55.0;13.0;10.0;5.0;1.83
0.15;0.33;0.26;13.0;37.0;31.0;4.0;5.0;0.43
0.39;0.44;0.39;29.0;34.0;15.0;6.0;7.0;1.14
0.43;0.51;0.74;52.0;44.0;7.0;7.0;15.0;1.9
0.32;0.45;0.56;39.0;42.0;17.0;6.0;12.0;1.64
0.32;0.45;0.56;39.0;42.0;17.0;4.0;13.0;1.64
0.21;0.39;0.37;26.0;39.0;27.0;4.0;10.0;1.37
0.22;0.36;0.36;23.0;37.0;33.5;4.5;9.0;1.14
0.23;0.34;0.36;20.0;35.0;40.0;5.0;8.0;0.91
0.32;0.42;0.27;17.0;36.0;25.0;6.0;11.0;0.59
0.44;0.55;0.39;24.0;35.0;14.0;7.0;14.0;1.18
0.57;0.5;0.87;64.0;41.0;13.0;5.0;9.0;2.15
0.78;0.58;1.14;105.0;45.0;7.0;8.0;7.0;2.7
0.93;0.62;1.31;69.0;44.0;6.0;15.0;10.0;3.19
0.83;0.72;1.2;85.0;56.0;4.0;6.0;17.0;3.34
0.16;0.3;0.26;10.0;28.0;35.0;3.0;7.0;0.56
0.27;0.41;0.33;22.0;33.0;24.0;2.0;9.0;0.83
0.15;0.32;0.27;13.0;24.0;50.0;1.0;7.0;0.66
0.17;0.31;0.26;19.0;31.0;38.0;4.0;8.0;0.55
0.33;0.44;0.43;38.0;39.0;22.0;5.0;10.0;1.22
0.44;0.5;0.86;44.0;36.0;23.0;6.0;17.0;2.12
0.2;0.32;0.37;24.0;34.0;33.0;2.0;7.0;0.97
0.19;0.34;0.28;18.0;33.0;40.0;4.0;8.0;0.86
0.27;0.4;0.32;17.0;35.0;25.0;7.0;8.0;0.83
0.5;0.5;0.5;31.0;33.0;17.0;8.0;15.0;1.37
